name,location_x,location_y,reviews,rating,staff,facilities,cleanliness,comfort,money_value,location,wifi,night_price
Riad Janate & SPA,31.63359,-7.986248,391,9.3,9.7,9.4,9.5,9.5,9.2,8.6,8.3,2842
La Ferme Ecolodge,30.60497169,-6.16689841,25,8.8,9,9.1,8.9,8.9,9,9.5,9,279
Riad Qodwa,31.52871748,-7.8693974,102,8.5,9.3,8.1,8.7,8.7,8.7,8.1,10,520
Airport Apartment Suite Casablanca FREE WIFI Modern Confort Calme,33.39254558,-7.55895853,60,9.8,9.9,9.9,9.8,9.9,9.8,9.5,7.5,652
Riad Raoud Rayhane,31.51387438,-9.77123111,247,9,9.3,9.2,9.4,9.4,9,9.6,10,656
Marrakech Ryads Parc All inclusive,31.68843559,-7.98714101,1,7.5,8.4,7.5,7.8,7.8,7.6,7.3,7.4,1535
Auberge Restaurant Telouet,31.28983317,-7.23663479,70,8.3,9.4,7.7,8.2,8.1,8.7,9.4,8.8,323
La Maison Jaune Dakhla Maison d'hôtes,23.7097408,-15.92297383,59,8.6,8.9,8.6,8.9,8.9,8.5,9.1,8.3,794
Riad Hayati,31.6220884,-7.9845188,46,9.5,9.9,9.4,9.8,9.6,9.2,9.9,6.7,1001
Hotel Leonor,35.22947204,-3.03163969,71,7.9,8.7,7.5,8.2,8.1,8.1,8.4,8.7,724
Auberge Kasbah Tiriguioute,31.099877,-6.557685,78,9.7,9.9,9.4,9.6,9.5,9.6,9.6,8.8,602
Kasbah Ait BenHadda,31.03852094,-6.57673359,346,9.3,9.8,9.1,9.3,9.1,9.4,8.9,9,524
RIAD LA SANTA,35.167445,-5.263292,238,8.8,9.4,8.6,9,9,9,9.6,7.5,802
Hyatt Place Taghazout Bay,30.52946788,-9.68710899,1,8.1,8.7,8.4,8.7,8.7,7.6,8.2,7.8,1802
Auberge Restaurant Atlas,31.5532455,-5.58526039,294,9.4,9.9,9.2,9.5,9.3,9.5,9.6,9,479
Royal Mirage Fes Hotel,34.03752884,-5.00397205,508,6.7,7.8,6.6,7.1,7.2,6.5,8.4,6.7,970
Villa Nour,31.45575744,-9.75165367,159,8.5,9.2,8.5,8.9,8.9,8.7,8.1,8.3,1163
Hotel Central Palace,31.62482589,-7.98835605,756,7.9,9.2,7.6,8,7.9,8.6,9.3,7.9,421
Riad Swaka,31.62151618,-7.98347712,256,9,9.7,8.8,9.2,9.1,8.9,9.2,8.8,1672
Hotel la renaissance tata,29.74264949,-7.97389009,15,8.1,9.3,7.7,8.5,8.3,8.2,8.5,9.3,401
Dawliz Rabat Art & Spa,34.02792637,-6.81295574,703,8,8.4,8.2,8.3,8.5,7.6,8.9,8.4,1715
HOTEL Bab Rimal,30.12872262,-6.86587572,63,8.3,8.9,8.3,8.1,8.5,7.9,8.7,6.7,892
HOTEL DES THERMES,33.388549,-6.094645,19,8.4,9.3,7.8,8.6,8.4,8.4,8.8,9.3,391
